"item","age","produces"
"a",16,0.0354906
"a",17,0.0437956
"a",18,0.0776053
"a",19,0.104167
"a",20,0.119134
"a",21,0.173913
"a",22,0.281407
"a",23,0.304183
"a",24,0.35443
"a",25,0.375
"a",26,0.479532
"a",27,0.551546
"a",28,0.603015
"a",29,0.60101
"a",30,0.709459
"a_lot",16,0.00313152
"a_lot",17,0.00729927
"a_lot",18,0.0221729
"a_lot",19,0.0357143
"a_lot",20,0.0433213
"a_lot",21,0.0483092
"a_lot",22,0.125628
"a_lot",23,0.193916
"a_lot",24,0.186715
"a_lot",25,0.276316
"a_lot",26,0.327485
"a_lot",27,0.4
"a_lot",28,0.492462
"a_lot",29,0.484848
"a_lot",30,0.591216
"about",16,0.00208768
"about",17,0
"about",18,0
"about",19,0.00892857
"about",20,0.0180505
"about",21,0.0193237
"about",22,0.040201
"about",23,0.0608365
"about",24,0.057971
"about",25,0.102649
"about",26,0.129412
"about",27,0.0979381
"about",28,0.233668
"about",29,0.257576
"about",30,0.307432
"above",16,0.00313152
"above",17,0.00729927
"above",18,0.00665188
"above",19,0.0119048
"above",20,0.032491
"above",21,0.0289855
"above",22,0.0502513
"above",23,0.0684411
"above",24,0.0815217
"above",25,0.142384
"above",26,0.163743
"above",27,0.190722
"above",28,0.238693
"above",29,0.257576
"above",30,0.300676
"after",16,0.00208768
"after",17,0.00364964
"after",18,0.0199557
"after",19,0.0238095
"after",20,0.0433213
"after",21,0.057971
"after",22,0.110553
"after",23,0.148289
"after",24,0.185714
"after",25,0.242623
"after",26,0.333333
"after",27,0.314433
"after",28,0.473618
"after",29,0.449495
"after",30,0.540541
"airplane",16,0.215031
"airplane",17,0.211679
"airplane",18,0.407982
"airplane",19,0.489614
"airplane",20,0.537906
"airplane",21,0.560386
"airplane",22,0.693467
"airplane",23,0.749049
"airplane",24,0.788256
"airplane",25,0.844156
"airplane",26,0.894737
"airplane",27,0.917949
"airplane",28,0.95603
"airplane",29,0.909091
"airplane",30,0.969595
"all",16,0.0574113
"all",17,0.0437956
"all",18,0.0842572
"all",19,0.122024
"all",20,0.119134
"all",21,0.115942
"all",22,0.256281
"all",23,0.304183
"all",24,0.397849
"all",25,0.398026
"all",26,0.51462
"all",27,0.572165
"all",28,0.692211
"all",29,0.641414
"all",30,0.739865
"allgone",16,0.319415
"allgone",17,0.354015
"allgone",18,0.494457
"allgone",19,0.608309
"allgone",20,0.65343
"allgone",21,0.613527
